scope,era,component,component_label,expected_direction,sample_count,unique_values,feature_mean,feature_std,spearman_to_return,aligned_spearman,bottom_samples,top_samples,bottom_expectancy,top_expectancy,top_minus_bottom,aligned_top_minus_bottom,missing_share
SYMBOL:BTC/USDT,RECENT,momentum_score,Momentum,1.0,2566,17,22.86087295401403,4.225951245587094,-0.0014043762644358026,-0.0014043762644358026,642,642,-0.408225894080997,-0.551211800623053,-0.14298590654205595,-0.14298590654205595,0.0
SYMBOL:BTC/USDT,RECENT,volume_score,Volume,1.0,2566,13,5.217069368667186,4.8629739994283625,-0.003333845920775609,-0.003333845920775609,642,642,-0.4822775560747664,-0.6158975420560747,-0.1336199859813083,-0.1336199859813083,0.0
SYMBOL:BTC/USDT,RECENT,structure_score,Structure,1.0,2566,9,6.286827747466875,2.5683861613543377,-0.0034124111488714874,-0.0034124111488714874,642,642,-0.562040676012461,-0.5836478364485981,-0.021607160436137085,-0.021607160436137085,0.0
SYMBOL:BTC/USDT,RECENT,regime_score,Regime,1.0,2566,6,4.107950116913484,2.700646397726908,0.012804515578748609,0.012804515578748609,642,642,-0.5298076947040498,-0.44304988785046723,0.08675780685358253,0.08675780685358253,0.0
SYMBOL:BTC/USDT,RECENT,risk_penalty,Risk Penalty,-1.0,2566,19,-3.676149649259548,3.7488309613773683,0.018287410772557026,-0.018287410772557026,642,642,-0.5434926246105919,-0.46347260124610595,0.08002002336448594,-0.08002002336448594,0.0
SYMBOL:BTC/USDT,RECENT,adaptive_adjustment,Adaptive Adjustment,1.0,2566,13,0.24318004676539362,2.819889251376825,-0.010496279754832848,-0.010496279754832848,642,642,-0.47938364797507793,-0.5781757242990654,-0.09879207632398745,-0.09879207632398745,0.0
SYMBOL:ETH/USDT,LEGACY,trend_score,Trend,1.0,2252,5,27.183392539964476,3.0040868315318496,0.013614103107659316,0.013614103107659316,563,563,-0.9889979555950266,-0.46208988809946716,0.5269080674955594,0.5269080674955594,0.0
SYMBOL:ETH/USDT,LEGACY,momentum_score,Momentum,1.0,2252,18,23.516873889875665,4.02933067399118,-0.04049930951578102,-0.04049930951578102,563,563,-0.3472926252220248,-0.5999002060390763,-0.25260758081705154,-0.25260758081705154,0.0
SYMBOL:ETH/USDT,LEGACY,volume_score,Volume,1.0,2252,16,5.210479573712256,4.838062926250256,0.01931256805952736,0.01931256805952736,563,563,-0.5623064511545293,-0.35901492362344584,0.20329152753108343,0.20329152753108343,0.0
SYMBOL:ETH/USDT,LEGACY,structure_score,Structure,1.0,2252,8,6.69449378330373,2.5412941035334873,-0.03279524976461016,-0.03279524976461016,563,563,-0.1819300319715808,-0.6121919680284192,-0.43026193605683843,-0.43026193605683843,0.0
SYMBOL:ETH/USDT,LEGACY,regime_score,Regime,1.0,2252,6,4.273978685612788,2.441678072088172,-0.035026992160847814,-0.035026992160847814,563,563,-0.7447179573712256,-0.5467671456483126,0.19795081172291296,0.19795081172291296,0.0
SYMBOL:ETH/USDT,LEGACY,risk_penalty,Risk Penalty,-1.0,2252,20,-6.7060390763765545,5.181835583331704,0.0696604550949836,-0.0696604550949836,563,563,-1.479125669626998,-0.3338485737122558,1.1452770959147422,-1.1452770959147422,0.0
SYMBOL:ETH/USDT,LEGACY,adaptive_adjustment,Adaptive Adjustment,1.0,2252,13,0.6793960923623446,2.935853879400769,-0.036803553189073065,-0.036803553189073065,563,563,-0.0913488170515098,-1.0620161758436943,-0.9706673587921846,-0.9706673587921846,0.0
SYMBOL:ETH/USDT,TRANSITION,trend_score,Trend,1.0,1409,4,27.004258339247695,3.2335157593631805,-0.027356022349918355,-0.027356022349918355,353,352,-0.5499727818696883,-0.5341454289772728,0.015827352892415547,0.015827352892415547,0.0
SYMBOL:ETH/USDT,TRANSITION,momentum_score,Momentum,1.0,1409,19,23.25124201561391,4.0555983725356075,0.0662308153833731,0.0662308153833731,353,352,-1.1130688611898016,-0.38021833806818184,0.7328505231216198,0.7328505231216198,0.0
SYMBOL:ETH/USDT,TRANSITION,volume_score,Volume,1.0,1409,10,5.061036195883605,4.80616109259195,0.01441247653654739,0.01441247653654739,353,352,-0.8126611133144476,-0.4776783693181818,0.33498274399626576,0.33498274399626576,0.0
SYMBOL:ETH/USDT,TRANSITION,structure_score,Structure,1.0,1409,8,6.191625266146203,2.6523502410837896,-0.012774346537054903,-0.012774346537054903,353,352,-0.7467308923512748,-0.891092125,-0.14436123264872525,-0.14436123264872525,0.0
SYMBOL:ETH/USDT,TRANSITION,regime_score,Regime,1.0,1409,6,4.256210078069553,2.38913262347654,0.0071805479507017845,0.0071805479507017845,353,352,-0.6640940651558073,-0.51556578125,0.1485282839058073,0.1485282839058073,0.0
SYMBOL:ETH/USDT,TRANSITION,risk_penalty,Risk Penalty,-1.0,1409,19,-5.5266146202980835,4.464134493044927,-0.011840774209528289,0.011840774209528289,353,352,-0.2889904022662889,-0.6454408380681819,-0.35645043580189295,0.35645043580189295,0.0
SYMBOL:ETH/USDT,TRANSITION,adaptive_adjustment,Adaptive Adjustment,1.0,1409,13,0.3797019162526615,2.75390676424414,0.007310597506890828,0.007310597506890828,353,352,-1.109443818696884,-0.7775060681818182,0.3319377505150658,0.3319377505150658,0.0
SYMBOL:ETH/USDT,RECENT,trend_score,Trend,1.0,2454,5,26.86756316218419,3.4896492671945887,0.005652771072092322,0.005652771072092322,614,614,-0.40278451954397393,-0.4406341026058632,-0.03784958306188929,-0.03784958306188929,0.0
SYMBOL:ETH/USDT,RECENT,momentum_score,Momentum,1.0,2454,19,23.097799511002446,4.162085245769961,-0.03632092021976704,-0.03632092021976704,614,614,-0.37944852931596096,-0.4798851530944626,-0.10043662377850165,-0.10043662377850165,0.0
SYMBOL:ETH/USDT,RECENT,volume_score,Volume,1.0,2454,12,4.926242868785656,4.699253870930974,0.01847151274121894,0.01847151274121894,614,614,-0.4944191026058632,-0.34310694462540714,0.15131215798045605,0.15131215798045605,0.0
SYMBOL:ETH/USDT,RECENT,structure_score,Structure,1.0,2454,8,6.41442542787286,2.569929023011006,0.08123942378610065,0.08123942378610065,614,614,-0.9215485228013031,-0.07484080781758959,0.8467077149837134,0.8467077149837134,0.0
SYMBOL:ETH/USDT,RECENT,regime_score,Regime,1.0,2454,6,4.270578647106764,2.4319873060636166,0.04645579842159252,0.04645579842159252,614,614,-0.5733645944625406,-0.4209542915309446,0.15241030293159602,0.15241030293159602,0.0
