variant,side,model,feature,coefficient
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,risk_norm,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,atr_log,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,rsi_centered,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,macd_per_vol,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,cost_pct,0.04408092945323239
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,cost_to_atr,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,net_reward_risk,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,trend_per_vol,0.26933395321172954
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,trend_volume_interaction,-0.030962804387324256
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,structure_gate,0.19956516650962125
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,regime_UNKNOWN,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,symbol_BTC/USDT,0.007203112413318258
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,symbol_ETH/USDT,0.015409556475304523
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,symbol_SOL/USDT,-0.01149656634127934
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,missing_indicator_0,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,missing_indicator_1,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,missing_indicator_2,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,missing_indicator_3,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,missing_indicator_4,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,trend_norm,0.3715169290960835
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,volume_confirm,-0.4387131544591816
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,regime_norm,-0.579239838386819
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,risk_norm,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,atr_log,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,rsi_centered,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,macd_per_vol,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,cost_pct,-0.8756927260034248
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,cost_to_atr,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,net_reward_risk,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,trend_per_vol,0.37151692909608364
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,trend_volume_interaction,0.7211860222014886
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,structure_gate,0.12083956189994487
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,regime_UNKNOWN,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,symbol_BTC/USDT,-0.5228212861587964
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,symbol_ETH/USDT,-0.23947027882008434
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,symbol_SOL/USDT,0.7622915649788359
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,missing_indicator_0,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,missing_indicator_1,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,missing_indicator_2,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,missing_indicator_3,0.0
ARCH_V2_NO_MOMENTUM,SHORT,RETURN_RIDGE,missing_indicator_4,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,trend_norm,-0.12383756823487507
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,volume_confirm,-0.30365124438261043
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,regime_norm,0.011937406105305439
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,risk_norm,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,atr_log,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,rsi_centered,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,macd_per_vol,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,cost_pct,-0.054748093590671856
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,cost_to_atr,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,net_reward_risk,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,trend_per_vol,-0.12383756823487507
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,trend_volume_interaction,0.4091309120880093
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,structure_gate,0.02262522160703698
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,regime_UNKNOWN,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,symbol_BTC/USDT,-0.19397430885822362
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,symbol_ETH/USDT,-0.07007753397065698
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,symbol_SOL/USDT,0.2979554007199555
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,missing_indicator_0,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,missing_indicator_1,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,missing_indicator_2,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,missing_indicator_3,0.0
ARCH_V2_NO_MOMENTUM,SHORT,WIN_LOGISTIC,missing_indicator_4,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,volume_confirm,0.357636954293725
ARCH_V2_LEAN,LONG,RETURN_RIDGE,risk_norm,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,atr_log,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,cost_to_atr,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,net_reward_risk,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,trend_per_vol,0.5498152704543333
ARCH_V2_LEAN,LONG,RETURN_RIDGE,structure_gate,0.2391708085790631
ARCH_V2_LEAN,LONG,RETURN_RIDGE,regime_UNKNOWN,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,symbol_BTC/USDT,0.10857694258381845
ARCH_V2_LEAN,LONG,RETURN_RIDGE,symbol_ETH/USDT,0.006363190881249141
ARCH_V2_LEAN,LONG,RETURN_RIDGE,symbol_SOL/USDT,-0.11494013346504155
ARCH_V2_LEAN,LONG,RETURN_RIDGE,missing_indicator_0,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,missing_indicator_1,0.0
ARCH_V2_LEAN,LONG,RETURN_RIDGE,missing_indicator_2,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,volume_confirm,0.21367993583607695
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,risk_norm,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,atr_log,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,cost_to_atr,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,net_reward_risk,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,trend_per_vol,0.4365591725786154
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,structure_gate,0.20225818541548118
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,regime_UNKNOWN,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,symbol_BTC/USDT,-0.010734322850602189
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,symbol_ETH/USDT,0.015385108930996058
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,symbol_SOL/USDT,0.01190320413073593
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,missing_indicator_0,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,missing_indicator_1,0.0
ARCH_V2_LEAN,LONG,WIN_LOGISTIC,missing_indicator_2,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,volume_confirm,0.051199765789492376
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,risk_norm,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,atr_log,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,cost_to_atr,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,net_reward_risk,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,trend_per_vol,-0.029542353274685497
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,structure_gate,-0.4047430543548413
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,regime_UNKNOWN,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,symbol_BTC/USDT,-0.14105595740407725
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,symbol_ETH/USDT,-0.18884789633576288
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,symbol_SOL/USDT,0.3299038537397969
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,missing_indicator_0,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,missing_indicator_1,0.0
ARCH_V2_LEAN,SHORT,RETURN_RIDGE,missing_indicator_2,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,volume_confirm,0.06707945902988649
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,risk_norm,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,atr_log,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,cost_to_atr,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,net_reward_risk,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,trend_per_vol,0.0020275437883873508
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,structure_gate,-0.0026710581686253724
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,regime_UNKNOWN,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,symbol_BTC/USDT,-0.16454818150761044
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,symbol_ETH/USDT,-0.06042186864947889
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,symbol_SOL/USDT,0.27701321029687626
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,missing_indicator_0,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,missing_indicator_1,0.0
ARCH_V2_LEAN,SHORT,WIN_LOGISTIC,missing_indicator_2,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,trend_norm,0.28696990920189575
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,momentum_capped,-0.057071862725708154
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,volume_confirm,0.2671152524333608
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,regime_norm,0.0733246169293934
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,risk_norm,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,atr_log,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,rsi_centered,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,macd_per_vol,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,cost_pct,-0.30686979929042024
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,cost_to_atr,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,net_reward_risk,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,trend_per_vol,0.28696990920189613
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,momentum_per_vol,-0.05707186272570744
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,trend_volume_interaction,0.13344734022416677
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,structure_gate,0.319302223614594
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,regime_UNKNOWN,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,symbol_BTC/USDT,-0.04286166705736758
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,symbol_ETH/USDT,-0.012846618217167958
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,symbol_SOL/USDT,0.05570828527452673
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,missing_indicator_0,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,missing_indicator_1,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,missing_indicator_2,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,missing_indicator_3,0.0
ARCH_V2_LONG_ONLY,LONG,RETURN_RIDGE,missing_indicator_4,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,trend_norm,0.2588816993644997
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,momentum_capped,-0.0051913493312163795
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,volume_confirm,0.23444685592289896
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,regime_norm,-0.12256116546597814
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,risk_norm,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,atr_log,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,rsi_centered,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,macd_per_vol,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,cost_pct,0.045303838984320145
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,cost_to_atr,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,net_reward_risk,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,trend_per_vol,0.2588816993644997
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,momentum_per_vol,-0.0051913493312163795
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,trend_volume_interaction,-0.032976994748573546
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,structure_gate,0.19599676629853985
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,regime_UNKNOWN,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,symbol_BTC/USDT,0.0077149212513953555
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,symbol_ETH/USDT,0.015736520831643275
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,symbol_SOL/USDT,-0.014279114162655924
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,missing_indicator_0,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,missing_indicator_1,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,missing_indicator_2,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,missing_indicator_3,0.0
ARCH_V2_LONG_ONLY,LONG,WIN_LOGISTIC,missing_indicator_4,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,trend_norm,0.4187584730292524
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,momentum_capped,0.03775569066017753
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,volume_confirm,-0.4450903920644504
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,regime_norm,-0.527714293062868
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,risk_norm,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,atr_log,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,rsi_centered,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,macd_per_vol,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,cost_pct,-0.8785241325303613
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,cost_to_atr,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,net_reward_risk,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,trend_per_vol,0.4187584730292521
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,momentum_per_vol,0.03775569066017603
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,trend_volume_interaction,0.7186985986102421
