scope,component,component_label,bin_order,bin_label,sample_count,component_mean,avg_return,median_return,win_rate
REGIME:BEAR,structure_score,Structure,1,"(2.0, 4.0]",1044,3.185824,-0.508979,-0.772722,0.35728
REGIME:BEAR,structure_score,Structure,2,"(4.0, 6.0]",2475,5.974545,-0.60443,-0.777997,0.362828
REGIME:BEAR,structure_score,Structure,3,"(6.0, 8.0]",824,7.242718,-0.407889,-0.645755,0.401699
REGIME:BEAR,structure_score,Structure,4,"(8.0, 10.0]",1574,10.0,-0.692794,-0.844693,0.382465
REGIME:BEAR,regime_score,Regime,0,"(-8.001, -1.5]",12,-8.0,-1.807278,-1.817439,0.166667
REGIME:BEAR,regime_score,Regime,1,"(-1.5, 5.0]",6092,5.0,-0.587771,-0.776453,0.371635
REGIME:BEAR,risk_penalty,Risk Penalty,0,"(-23.001, -18.4]",67,-20.328358,-5.844483,-4.459172,0.19403
REGIME:BEAR,risk_penalty,Risk Penalty,1,"(-18.4, -13.8]",228,-15.70614,-1.365529,-1.874321,0.381579
REGIME:BEAR,risk_penalty,Risk Penalty,2,"(-13.8, -9.2]",607,-11.818781,-0.40547,-0.74989,0.439868
REGIME:BEAR,risk_penalty,Risk Penalty,3,"(-9.2, -4.6]",1956,-7.032209,-0.449002,-0.706948,0.383947
REGIME:BEAR,risk_penalty,Risk Penalty,4,"(-4.6, 0.0]",3246,-1.703635,-0.546857,-0.760895,0.353666
REGIME:BEAR,external_context_score,External Context,0,CONSTANT,6104,0.0,-0.590168,-0.778682,0.371232
REGIME:BEAR,adaptive_adjustment,Adaptive Adjustment,0,"(-8.001, -5.2]",12,-8.0,-1.807278,-1.817439,0.166667
REGIME:BEAR,adaptive_adjustment,Adaptive Adjustment,1,"(-5.2, -2.4]",560,-3.0,-0.415731,-0.704479,0.391071
REGIME:BEAR,adaptive_adjustment,Adaptive Adjustment,2,"(-2.4, 0.4]",2664,-0.75976,-0.555529,-0.723271,0.361486
REGIME:BEAR,adaptive_adjustment,Adaptive Adjustment,3,"(0.4, 3.2]",1962,2.001529,-0.54332,-0.822601,0.375637
REGIME:BEAR,adaptive_adjustment,Adaptive Adjustment,4,"(3.2, 6.0]",906,5.342163,-0.885173,-1.018231,0.380795
REGIME:BEAR,historical_edge_score,Historical Edge,0,CONSTANT,6104,0.0,-0.590168,-0.778682,0.371232
REGIME:SIDEWAYS,trend_score,Trend,0,"(16.999, 22.5]",86,17.0,-0.416291,-0.393936,0.430233
REGIME:SIDEWAYS,trend_score,Trend,1,"(22.5, 28.0]",492,28.0,-0.385629,-0.664591,0.384146
REGIME:SIDEWAYS,momentum_score,Momentum,0,"(19.999, 22.0]",26,21.923077,-0.741878,-0.387389,0.423077
REGIME:SIDEWAYS,momentum_score,Momentum,1,"(22.0, 24.0]",59,23.932203,-0.749514,-0.65731,0.322034
REGIME:SIDEWAYS,momentum_score,Momentum,2,"(24.0, 26.0]",98,25.234694,-0.547969,-0.906357,0.295918
REGIME:SIDEWAYS,momentum_score,Momentum,3,"(26.0, 28.0]",173,27.531792,-0.520666,-0.693914,0.393064
REGIME:SIDEWAYS,momentum_score,Momentum,4,"(28.0, 30.0]",222,30.0,-0.082181,-0.363462,0.445946
REGIME:SIDEWAYS,volume_score,Volume,0,"(-0.001, 3.2]",116,0.905172,-0.308865,-0.741452,0.37931
REGIME:SIDEWAYS,volume_score,Volume,1,"(3.2, 6.4]",56,4.446429,-0.510071,-0.570039,0.339286
REGIME:SIDEWAYS,volume_score,Volume,2,"(6.4, 9.6]",168,8.107143,-0.468048,-0.716103,0.375
REGIME:SIDEWAYS,volume_score,Volume,3,"(9.6, 12.8]",104,11.019231,0.012655,-0.450095,0.442308
REGIME:SIDEWAYS,volume_score,Volume,4,"(12.8, 16.0]",134,13.932836,-0.625537,-0.466203,0.402985
REGIME:SIDEWAYS,structure_score,Structure,0,"(2.999, 4.333]",206,3.0,-0.532005,-0.659347,0.368932
REGIME:SIDEWAYS,structure_score,Structure,1,"(4.333, 5.667]",6,5.0,-0.359252,-0.231911,0.5
REGIME:SIDEWAYS,structure_score,Structure,2,"(5.667, 7.0]",366,7.0,-0.310879,-0.613654,0.401639
REGIME:SIDEWAYS,regime_score,Regime,0,CONSTANT,578,-5.0,-0.390191,-0.637301,0.391003
REGIME:SIDEWAYS,risk_penalty,Risk Penalty,0,"(-12.001, -9.6]",3,-12.0,0.042595,-0.830554,0.333333
REGIME:SIDEWAYS,risk_penalty,Risk Penalty,1,"(-9.6, -7.2]",34,-9.0,-0.351901,-0.229768,0.441176
REGIME:SIDEWAYS,risk_penalty,Risk Penalty,2,"(-7.2, -4.8]",67,-5.268657,-0.133627,0.272689,0.522388
REGIME:SIDEWAYS,risk_penalty,Risk Penalty,3,"(-4.8, -2.4]",38,-4.0,-0.639368,-0.692444,0.315789
REGIME:SIDEWAYS,risk_penalty,Risk Penalty,4,"(-2.4, 0.0]",436,-0.66055,-0.413864,-0.663196,0.373853
REGIME:SIDEWAYS,external_context_score,External Context,0,CONSTANT,578,0.0,-0.390191,-0.637301,0.391003
REGIME:SIDEWAYS,adaptive_adjustment,Adaptive Adjustment,0,CONSTANT,578,-5.0,-0.390191,-0.637301,0.391003
REGIME:SIDEWAYS,historical_edge_score,Historical Edge,0,CONSTANT,578,0.0,-0.390191,-0.637301,0.391003
