gate,family,description,verdict,live_safe,samples,rows,sample_share_pct,avg_return_pct,median_return_pct,win_rate,target_1_hit_rate,stop_hit_rate,mfe_mean_pct,mae_mean_pct,mfe_mae_ratio,best_return_pct,worst_return_pct,avg_4h_return_pct,avg_12h_return_pct,avg_24h_return_pct,research_score,warnings,filters
SCORE_GE_50_SHORT,score_side,score >= 50 + SHORT.,REJECT_NEGATIVE_EDGE,True,145,145,49.15,-0.1484,-0.0531,42.76,48.97,44.83,2.13,-2.3363,0.912,2.9224,-2.9327,-0.1484,-0.3885,-0.2744,-0.2244,"[""میانگین بازده منفی است.""]","{""score_min"": 50, ""side_in"": [""SHORT""]}"
SHORT_SCORE_GE_50,component,short_score >= 50.,REJECT_NEGATIVE_EDGE,True,145,145,49.15,-0.1484,-0.0531,42.76,48.97,44.83,2.13,-2.3363,0.912,2.9224,-2.9327,-0.1484,-0.3885,-0.2744,-0.2244,"[""میانگین بازده منفی است.""]","{""short_score_min"": 50}"
SCORE_BUCKET_50_59,score_bucket,score 50-59,REJECT_NEGATIVE_EDGE,True,141,141,47.8,-0.1436,-0.0985,41.13,47.52,44.68,1.9169,-2.1737,0.882,4.8272,-2.9412,-0.1436,-0.3258,-0.3696,-0.26,"[""میانگین بازده منفی است.""]","{""score_min"": 50, ""score_max"": 59}"
CONFIDENCE_MEDIUM,confidence,فقط confidence=Medium.,REJECT_NEGATIVE_EDGE,True,158,158,53.56,-0.1013,-0.1148,38.61,50.0,49.37,2.1397,-2.193,0.976,4.8272,-2.7253,-0.1013,-0.2894,-0.2024,-0.2682,"[""میانگین بازده منفی است.""]","{""confidence_in"": [""Medium""]}"
WATCHLIST_ONLY,actionability,فقط WATCHLIST برای مقایسه با ACTIONABLE.,REJECT_NEGATIVE_EDGE,True,176,176,59.66,-0.1222,-0.1287,38.07,51.14,48.3,2.0962,-2.2095,0.949,4.8272,-2.9327,-0.1222,-0.3353,-0.2406,-0.2778,"[""میانگین بازده منفی است.""]","{""actionability_in"": [""WATCHLIST""]}"
SYMBOL_WATCH_OR_ACTIONABLE_ETHUSDT,symbol_actionability,ETH/USDT + WATCHLIST/ACTIONABLE.,REJECT_NEGATIVE_EDGE,True,36,36,12.2,-0.1389,-0.1428,36.11,55.56,47.22,2.0406,-2.4071,0.848,2.7268,-2.3399,-0.1389,-0.3343,-0.3211,-0.279,"[""میانگین بازده منفی است.""]","{""symbol_in"": [""ETH/USDT""], ""actionability_in"": [""WATCHLIST"", ""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
HISTORICAL_EDGE_SCORE_GE_1,component,historical_edge_score >= 1.,REJECT_NEGATIVE_EDGE,True,40,40,13.56,-0.1534,-0.2067,32.5,47.5,35.0,1.6298,-1.5296,1.066,2.0053,-1.8426,-0.1534,-0.1345,0.1026,-0.2843,"[""میانگین بازده منفی است.""]","{""historical_edge_score_min"": 1}"
RISK_LOW,risk,فقط risk_label=Low.,REJECT_NEGATIVE_EDGE,True,211,211,71.53,-0.0898,-0.1181,40.28,45.97,49.29,1.8012,-2.1829,0.825,4.8272,-2.6468,-0.0898,-0.3507,-0.4105,-0.2863,"[""میانگین بازده منفی است.""]","{""risk_in"": [""Low""]}"
SCORE_GE_60_SHORT,score_side,score >= 60 + SHORT.,REJECT_NEGATIVE_EDGE,True,71,71,24.07,-0.1622,-0.0241,42.25,49.3,50.7,2.1773,-2.3463,0.928,2.7268,-2.9327,-0.1622,-0.3689,-0.1656,-0.2997,"[""میانگین بازده منفی است.""]","{""score_min"": 60, ""side_in"": [""SHORT""]}"
SHORT_SCORE_GE_60,component,short_score >= 60.,REJECT_NEGATIVE_EDGE,True,71,71,24.07,-0.1622,-0.0241,42.25,49.3,50.7,2.1773,-2.3463,0.928,2.7268,-2.9327,-0.1622,-0.3689,-0.1656,-0.2997,"[""میانگین بازده منفی است.""]","{""short_score_min"": 60}"
NOT_ACTIONABLE_ONLY,actionability,NOT_ACTIONABLE فقط برای کنترل منفی؛ معمولاً نباید candidate شود.,REJECT_NEGATIVE_EDGE,True,73,73,24.75,-0.1944,-0.1085,41.1,42.47,38.36,1.5825,-2.111,0.75,2.9224,-2.9412,-0.1944,-0.4442,-0.3441,-0.3118,"[""میانگین بازده منفی است.""]","{""actionability_in"": [""NOT_ACTIONABLE""]}"
CONFIDENCE_LOW,confidence,فقط confidence=Low.,REJECT_NEGATIVE_EDGE,True,73,73,24.75,-0.1944,-0.1085,41.1,42.47,38.36,1.5825,-2.111,0.75,2.9224,-2.9412,-0.1944,-0.4442,-0.3441,-0.3118,"[""میانگین بازده منفی است.""]","{""confidence_in"": [""Low""]}"
SYMBOL_ETHUSDT,symbol,فقط نماد ETH/USDT.,REJECT_NEGATIVE_EDGE,True,48,48,16.27,-0.1386,-0.1137,35.42,50.0,43.75,1.8564,-2.3447,0.792,2.7268,-2.3399,-0.1386,-0.3927,-0.3824,-0.3156,"[""میانگین بازده منفی است.""]","{""symbol_in"": [""ETH/USDT""]}"
SCORE_BUCKET_60_69,score_bucket,score 60-69,REJECT_NEGATIVE_EDGE,True,90,90,30.51,-0.1105,-0.1585,36.67,47.78,47.78,2.0368,-2.1567,0.944,2.894,-2.6468,-0.1105,-0.3578,-0.0554,-0.316,"[""میانگین بازده منفی است.""]","{""score_min"": 60, ""score_max"": 69}"
VOLUME_SCORE_GE_10,component,volume_score >= 10.,REJECT_NEGATIVE_EDGE,True,34,34,11.53,-0.2745,-0.5034,23.53,76.47,44.12,2.7339,-2.0804,1.314,4.8272,-2.9327,-0.2745,-0.3442,0.7131,-0.3166,"[""میانگین بازده منفی است.""]","{""volume_score_min"": 10}"
